AppID;Name;Release_Date;Primary_Genre;All_Tags;Price_USD;Review_Score_Pct_SteamDB;Total_Reviews;Positive_Reviews;Steam_Deck_Status;Estimated_Owners;24h_Peak_Players;Is_DLC?
218620;PAYDAY 2;13/8/2013;Action;"Co-op;Action;FPS;Heist;Multiplayer;Looter Shooter;Online Co-Op;Stealth;Crime;Shooter;Team-Based;First-Person;Great Soundtrack;Gun Customization;Tactical;PvE;Strategy;Singleplayer;Funny;Simulation";9,99;88,62;672622;600720;Verified;20178660;34110;No
1820000;Homura Hime;4/3/2026;Action;"Female Protagonist;Spectacle fighter;Bullet Hell;Hack and Slash;Anime;Action RPG;Character Action Game;3D Fighter;Cute;3D;Action;Story Rich;Singleplayer;Atmospheric;Indie;Souls-like;Remake;Vikings";24,99;85,89;2190;1967;Playable;65700;119;No
244850;Space Engineers;28/2/2019;Action;"Sandbox;Space;Building;Survival;Simulation;Physics;Open World;Base Building;Multiplayer;Singleplayer;Co-op;Moddable;PvP;Space Sim;Combat;Action;Exploration;PvE;Strategy;Realistic";19,99;87,43;136536;120877;Unsupported;4096080;4908;No
570940;DARK SOULS™: REMASTERED;23/5/2018;Action;"Souls-like;Dark Fantasy;RPG;Difficult;Action;Dark;Fantasy;Atmospheric;Great Soundtrack;Action RPG;Lore-Rich;Adventure;Multiplayer;Exploration;Third Person;Story Rich;Replay Value;Character Customization;Soundtrack;Co-op";39,99;91,26;150801;139393;Playable;4524030;3547;No
2417610;METAL GEAR SOLID ?: SNAKE EATER;28/8/2025;Action;"Stealth;Action;Story Rich;Cinematic;Cold War;Remake;Military;Singleplayer;Third-Person Shooter;Action-Adventure;Tactical;Survival;3D;Adventure;Third Person;War;Violent;Exploration;Great Soundtrack;Tanks";69,99;82,23;17771;14931;Unsupported;533130;250;No
690790;DiRT Rally 2.0;26/2/2019;Racing;"Racing;Automobile Sim;Simulation;Multiplayer;VR;Driving;Sports;Offroad;Realistic;Difficult;Singleplayer;Controller;First-Person;Open World;Co-op;Family Friendly;TrackIR;Action;Adventure;Psychological Horror";19,99;87,23;47845;42457;Unsupported;1435350;943;No
3846120;MineMogul;4/12/2025;Indie;"Early Access;Automation;Building;Physics;Mining;Strategy;Simulation;Crafting;Management;Base Building;Sandbox;Resource Management;Underground;Indie;Casual;Open World;First-Person;Stylized;Nonlinear;Farming Sim;Nature";14,99;92,42;3785;3645;Playable;113550;261;No
3293260;Waterpark Simulator;22/8/2025;Casual;"Early Access;Immersive Sim;Simulation;Management;Singleplayer;Economy;Sandbox;Building;Capitalism;Base Building;Life Sim;Crafting;Funny;First-Person;Comedy;Inventory Management;Physics;Casual;Open World;3D;Realistic";12,99;93,12;10154;9746;Playable;304620;904;No
2325290;Sky: Children of the Light;10/4/2024;Adventure;"Early Access;Multiplayer;Cozy;Open World;Exploration;Adventure;Cute;Online Co-Op;Atmospheric;Massively Multiplayer;Wholesome;Emotional;Puzzle;Character Customization;Casual;Fantasy;Family Friendly;Stylized;Sandbox;Puzzle Platformer;Anime";0;85,35;23611;20575;Verified;708330;4497;No
2780980;LOCKDOWN Protocol;18/11/2025;Action;"Multiplayer;Social Deduction;Dialogue Heavy;Space;Investigation;Action;Casual;First-Person;Sci-fi;Team-Based;Puzzle;FPS;Real Time Tactics;PvP;3D;Strategy;Perma Death;Cute;Stylized;Time Management";9,99;84,4;19273;16624;Playable;578190;531;No
881020;Granblue Fantasy: Relink;1/2/2024;Action;"Anime;Action RPG;JRPG;Online Co-Op;Action;Multiplayer;Fantasy;RPG;Female Protagonist;Singleplayer;Third Person;Hack and Slash;Spectacle fighter;3D;Magic;Controller;Swordplay;PvE;Dragons;Tutorial";39,99;88,56;51619;46501;Playable;1548570;3519;No
965580;Root;24/9/2020;Indie;"Board Game;Tabletop;Strategy;War;Wargame;Cute;Indie;Turn-Based Strategy;PvP;Simulation;Multiplayer;Singleplayer;Asynchronous Multiplayer;Touch-Friendly;Card Game;Puzzle;Solitaire;Early Access;Top-Down;Cartoony";14,99;87,18;5308;4789;Verified;159240;226;No
2231380;Tom Clancy's Ghost Recon® Breakpoint;23/1/2023;Action;"Open World;Shooter;Singleplayer;Co-op;Multiplayer;Military;Action;Stealth;Third-Person Shooter;Tactical;Realistic;Online Co-op;Adventure;Third Person;Character Customization;FPS;Looter Shooter;Violent;Story Rich;First-Person";59,99;72,77;42369;31237;Unsupported;1271070;1965;No
1766060;HumanitZ;6/2/2026;Action;"Survival;Zombies;Open World;Multiplayer;Base Building;Crafting;Sandbox;Isometric;Post-apocalyptic;Shooter;PvP;RPG;Singleplayer;Online Co-op;Horror;Action;Survival Horror;Open World Survival Craft;Adventure;Combat";19,99;73,15;12866;9595;Unsupported;385980;2344;No
1238860;Battlefield 4™;11/6/2020;Action;"Multiplayer;FPS;Singleplayer;Shooter;Military;War;Action;First-Person;PvP;Co-op;Destruction;Violent;Massively Multiplayer;Controller;Tactical;Story Rich;Open World;Online Co-op;Strategy;Great Soundtrack";39,99;83,74;79782;67743;Playable;2393460;1168;No
774801;Crab Champions;1/4/2023;Action;"Early Access;Action Roguelike;Multiplayer;Soundtrack;Looter Shooter;Roguelike;Arcade;Third-Person Shooter;3D;Co-op;Bullet Hell;Shooter;Casual;Action;PvE;Platformer;Perma Death;Choices Matter;Memes;Roguelite;Relaxing";9,99;95,76;30489;29848;Playable;914670;931;No
1238810;Battlefield™ V;11/6/2020;Action;"FPS;Multiplayer;World War II;Singleplayer;Shooter;War;Military;First-Person;Massively Multiplayer;PvP;Combat;Open World;Historical;Action;Destruction;Battle Royale;Atmospheric;Violent;Sexual Content;Female Protagonist";49,99;70,17;266113;188024;Unsupported;7983390;6588;No
1089090;ONE PIECE: PIRATE WARRIORS 4;26/3/2020;Action;"Anime;Hack and Slash;Beat 'em up;Pirates;Fighting;Split Screen;Action;PvP;Arcade;Musou;Multiplayer;Co-op;Adventure;RPG;Local Co-op;Online Co-op;Controller;Comedy;Singleplayer;Open World";39,99;89,64;21574;19784;Verified;647220;478;No
460930;Tom Clancy's Ghost Recon® Wildlands;7/3/2017;Action;"Open World;Shooter;Multiplayer;Co-op;Singleplayer;Stealth;Tactical;Action;Military;Third-Person Shooter;FPS;Online Co-op;Third Person;Adventure;Survival;Strategy;Sandbox;First-Person;Atmospheric;PvP";49,99;78,75;104542;83282;Playable;3136260;1874;No
1158160;Coral Island;14/11/2023;Adventure;"Farming Sim;Life Sim;Relaxing;Dating Sim;Simulation;Agriculture;RPG;Character Customization;Crafting;Singleplayer;Building;Open World;Sandbox;Casual;Indie;Adventure;Fishing;Mining;LGBTQ+;Cartoony";29,99;86,85;26539;23526;Verified;796170;2711;No
